"type";"nano"
"TCP";2984000
"TCP";4323000
"TCP";2604000
"TCP";6582000
"TCP";2670000
"TCP";5841000
"TCP";2507000
"TCP";2600000
"TCP";2847000
"TCP";2597000
"TCP";3121000
"TCP";4819000
"TCP";6586000
"TCP";11139000
"TCP";4299000
"TCP";2641000
"TCP";2611000
"TCP";3373000
"TCP";4183000
"TCP";6580000
"TCP";3070000
"TCP";2648000
"TCP";2523000
"TCP";8158000
"TCP";7832000
"TCP";2447000
"TCP";3968000
"TCP";5226000
"TCP";3793000
"TCP";2701000
"TCP";3055000
"TCP";2736000
"TCP";2537000
"TCP";5339000
"TCP";2446000
"TCP";6468000
"TCP";2635000
"TCP";3049000
"TCP";3201000
"TCP";2531000
"TCP";4696000
"TCP";4031000
"TCP";2609000
"TCP";2981000
"TCP";2654000
"TCP";2937000
"TCP";3279000
"TCP";3768000
"TCP";2487000
"TCP";3855000
"TCP";4327000
"TCP";2674000
"TCP";2594000
"TCP";2986000
"TCP";3407000
"TCP";3188000
"TCP";2591000
"TCP";2634000
"TCP";2820000
"TCP";2624000
"TCP";2843000
"TCP";2751000
"TCP";3362000
"TCP";2868000
"TCP";3112000
"TCP";2632000
"TCP";3824000
"TCP";7979000
"TCP";8735000
"TCP";2940000
"TCP";2934000
"TCP";3060000
"TCP";4802000
"TCP";2606000
"TCP";4700000
"TCP";2821000
"TCP";4451000
"TCP";5086000
"TCP";4230000
"TCP";2798000
"TCP";4346000
"TCP";2800000
"TCP";5844000
"TCP";2506000
"TCP";2959000
"TCP";2563000
"TCP";2710000
"TCP";4790000
"TCP";3885000
"TCP";9105000
"TCP";4204000
"TCP";2629000
"TCP";2929000
"TCP";3343000
"TCP";2596000
"TCP";4324000
"TCP";2810000
"TCP";11512000
"TCP";2721000
"TCP";3013000
"TCP";3782000
"TCP";2585000
"TCP";4340000
"TCP";3063000
"TCP";4180000
"TCP";4553000
"TCP";6405000
"TCP";2681000
"TCP";2611000
"TCP";15599000
"TCP";2752000
"TCP";3016000
"TCP";2863000
"TCP";2697000
"TCP";2590000
"TCP";2872000
"TCP";5428000
"TCP";2815000
"TCP";10601000
"TCP";3793000
"TCP";7162000
"TCP";7447000
"TCP";2569000
"TCP";4263000
"TCP";4089000
"TCP";2926000
"TCP";2599000
"TCP";2625000
"TCP";5646000
"TCP";3436000
"TCP";2995000
"TCP";2919000
"TCP";6045000
"TCP";2625000
"TCP";2860000
"TCP";3062000
"TCP";5153000
"TCP";7175000
"TCP";2666000
"TCP";3237000
"TCP";2583000
"TCP";2586000
"TCP";2982000
"TCP";2612000
"TCP";2583000
"TCP";6497000
"TCP";3747000
"TCP";2723000
"TCP";2991000
"TCP";2538000
"TCP";3667000
"TCP";2594000
"TCP";4205000
"TCP";2583000
"TCP";2609000
"TCP";2569000
"TCP";2543000
"TCP";2838000
"TCP";2602000
"TCP";4258000
"TCP";2604000
"TCP";3032000
"TCP";4832000
"TCP";2680000
"TCP";2561000
"TCP";2674000
"TCP";5928000
"TCP";2730000
"TCP";3753000
"TCP";2574000
"TCP";2585000
"TCP";11127000
"TCP";2660000
"TCP";13451000
"TCP";2574000
"TCP";2990000
"TCP";2888000
"TCP";2580000
"TCP";3201000
"TCP";5928000
"TCP";2840000
"TCP";5035000
"TCP";3045000
"TCP";3282000
"TCP";3740000
"TCP";2532000
"TCP";11566000
"TCP";3051000
"TCP";2816000
"TCP";3250000
"TCP";2611000
"TCP";2569000
"TCP";3049000
"TCP";2939000
"TCP";4655000
"TCP";2701000
"TCP";3225000
"TCP";4699000
"TCP";3440000
"TCP";3190000
"TCP";3071000
"TCP";2455000
"TCP";2580000
"TCP";3771000
"TCP";3184000
"TCP";3008000
"TCP";2691000
"TCP";3363000
"TCP";7507000
"TCP";2852000
"TCP";3109000
"TCP";3026000
"TCP";12102000
"TCP";4820000
"TCP";10092000
"TCP";2593000
"TCP";5202000
"TCP";4833000
"TCP";3057000
"TCP";5398000
"TCP";7466000
"TCP";2629000
"TCP";3645000
"TCP";2609000
"TCP";12167000
"TCP";2560000
"TCP";2697000
"TCP";3306000
"TCP";4709000
"TCP";2593000
"TCP";2592000
"TCP";3132000
"TCP";2480000
"TCP";11087000
"TCP";2549000
"TCP";3599000
"TCP";2585000
"TCP";3356000
"TCP";3504000
"TCP";10895000
"TCP";3367000
"TCP";3695000
"TCP";6079000
"TCP";5472000
"TCP";8370000
"TCP";7967000
"TCP";13205000
"TCP";3667000
"TCP";2751000
"TCP";5063000
"TCP";2850000
"TCP";3324000
"TCP";7124000
"TCP";2589000
"TCP";2837000
"TCP";2591000
"TCP";3700000
"TCP";6021000
"TCP";7800000
"TCP";4166000
"TCP";2923000
"TCP";4717000
"TCP";3121000
"TCP";8584000
"TCP";3536000
"TCP";3484000
"TCP";2851000
"TCP";3957000
"TCP";4011000
"TCP";2657000
"TCP";7188000
"TCP";5636000
"TCP";5400000
"TCP";3828000
"TCP";2614000
"TCP";3262000
"TCP";5053000
"TCP";2615000
"TCP";7288000
"TCP";2901000
"TCP";2539000
"TCP";2674000
"TCP";4301000
"TCP";5850000
"TCP";3337000
"TCP";2612000
"TCP";3971000
"TCP";5106000
"TCP";2859000
"TCP";4842000
"TCP";3916000
"TCP";3012000
"TCP";10216000
"TCP";2599000
"TCP";4168000
"TCP";20501000
"TCP";7142000
"TCP";4099000
"TCP";3787000
"TCP";5948000
"TCP";4353000
"TCP";2942000
"TCP";5150000
"TCP";3484000
"TCP";3842000
"TCP";2975000
"TCP";2709000
"TCP";2858000
"TCP";6980000
"TCP";3477000
"TCP";2592000
"TCP";5799000
"TCP";4177000
"TCP";18602000
"TCP";3214000
"TCP";2651000
